newLayout,oldLayout
93,49
183,89
124,246
214,73
122,47
78,66
186,74
54,64
311,91
200,267
126,82
144,73
121,114
85,73
72,48
158,85
157,63
147,82
96,90
64,106
92,54
108,432
149,68
129,67
301,48
185,250
212,66
182,92
180,206
46,59
79,93
104,353
113,67
96,53
135,87
128,146
282,116
104,177
65,149
108,91
106,92
98,91
136,68
84,110
91,60
106,62
,59
,45
,86
,116
,69
